hygro;temperature;date;heure;hygro_lissee;hygro_Bis;hygro_Ter;temperature_lissee;temperature_Bis;temperature_Ter
74.22;18.2;2023-11-10;07:49:15;74.5782775;76.14400499999999;73.01255;18.27;18.307855;18.232145
74.21;18.21;2023-11-10;07:49:16;74.5772125;76.14281;73.01161499999999;18.2699725;18.30775;18.232195
74.23;18.21;2023-11-10;07:49:17;74.57618500000001;76.141675;73.01069500000001;18.269945;18.307645;18.232245
74.21;18.21;2023-11-10;07:49:18;74.57519249999999;76.14062999999999;73.00975499999998;18.26992;18.307545;18.232294999999997
74.22;18.25;2023-11-10;07:49:19;74.57420499999999;76.13959;73.00881999999999;18.269905;18.307465;18.232345000000002
74.2;18.24;2023-11-10;07:49:20;74.5731325;76.13839;73.007875;18.269872499999998;18.307375;18.23237
74.2;18.22;2023-11-10;07:49:21;74.5720925;76.13724;73.006945;18.269840000000002;18.307275;18.232405000000004
74.2;18.21;2023-11-10;07:49:22;74.571055;76.13609;73.00602;18.2698125;18.307175;18.23245
74.2;18.24;2023-11-10;07:49:23;74.570035;76.13499;73.00508;18.269795000000002;18.30709;18.2325
74.2;18.21;2023-11-10;07:49:24;74.5690725;76.13399;73.004155;18.2697675;18.306995;18.232539999999997
74.2;18.21;2023-11-10;07:49:25;74.56803;76.13284;73.00322;18.269737499999998;18.306884999999998;18.232590000000002
74.2;18.22;2023-11-10;07:49:26;74.5670625;76.13184000000001;73.002285;18.26972;18.306794999999997;18.232645
74.17;18.24;2023-11-10;07:49:27;74.5660675;76.130775;73.00136;18.2696975;18.306715;18.232680000000002
74.17;18.22;2023-11-10;07:49:29;74.5651025;76.12976;73.000445;18.269665;18.30662;18.23271
74.18;18.25;2023-11-10;07:49:30;74.5641875;76.12885;72.999525;18.2696525;18.306545;18.23276
74.18;18.21;2023-11-10;07:49:31;74.56317250000001;76.12773999999999;72.99860500000001;18.269615;18.30644;18.23279
74.16;18.21;2023-11-10;07:49:32;74.562175;76.12667;72.99767999999999;18.269595000000002;18.306345;18.232845
74.17;18.21;2023-11-10;07:49:33;74.56123749999999;76.125705;72.99676999999998;18.269575;18.30625;18.2329
74.15;18.21;2023-11-10;07:49:34;74.560295;76.12473;72.99586000000001;18.269550000000002;18.306150000000002;18.232950000000002
74.14;18.21;2023-11-10;07:49:35;74.559375;76.12379999999999;72.99495000000002;18.26952;18.306044999999997;18.232995000000003
74.14;18.21;2023-11-10;07:49:36;74.5584075;76.12277;72.994045;18.26949;18.30594;18.233040000000003
74.13;18.22;2023-11-10;07:49:37;74.5574125;76.121685;72.99314;18.2694725;18.305855;18.233089999999997
74.13;18.2;2023-11-10;07:49:38;74.55647;76.1207;72.99224000000001;18.269444999999997;18.30575;18.23314
74.13;18.24;2023-11-10;07:49:39;74.55553;76.119715;72.991345;18.2694325;18.305670000000003;18.233195
74.13;18.22;2023-11-10;07:49:40;74.5546175;76.11878;72.990455;18.269402499999998;18.305574999999997;18.23323
74.14;18.22;2023-11-10;07:49:41;74.55360250000001;76.11765000000001;72.989555;18.269377499999997;18.30548;18.233275
74.15;18.21;2023-11-10;07:49:42;74.55261250000001;76.116575;72.98865;18.269347500000002;18.305375;18.23332
74.15;18.25;2023-11-10;07:49:43;74.55164500000001;76.11555;72.98774;18.269329999999997;18.305289999999996;18.23337
74.16;18.21;2023-11-10;07:49:44;74.550705;76.11458;72.98683;18.2692975;18.305195000000005;18.233399999999996
74.16;18.2;2023-11-10;07:49:45;74.5497325;76.11355999999999;72.985905;18.2692725;18.305095;18.23345
74.16;18.22;2023-11-10;07:49:46;74.54881750000001;76.11264;72.98499500000001;18.2692525;18.305;18.233505
74.15;18.2;2023-11-10;07:49:47;74.54781750000001;76.111565;72.98407;18.269217500000003;18.304895000000002;18.23354
74.14;18.22;2023-11-10;07:49:48;74.54682249999999;76.11048499999998;72.98316;18.269199999999998;18.304805;18.233594999999998
74.16;18.21;2023-11-10;07:49:49;74.54583249999999;76.109415;72.98225;18.269175000000004;18.30471;18.233640000000005
74.14;18.22;2023-11-10;07:49:50;74.54483250000001;76.10833500000001;72.98133;18.269154999999998;18.30462;18.23369
74.13;18.2;2023-11-10;07:49:51;74.5437825;76.10715;72.98041500000001;18.269122499999998;18.304509999999997;18.233735
74.12;18.2;2023-11-10;07:49:52;74.54273500000001;76.10596000000001;72.97951;18.2691;18.30441;18.233790000000003
74.12;18.2;2023-11-10;07:49:53;74.54174;76.10486999999999;72.97861;18.269080000000002;18.304309999999997;18.233850000000004
74.13;18.22;2023-11-10;07:49:54;74.5407;76.103685;72.977715;18.2690625;18.30422;18.233905
74.1;18.22;2023-11-10;07:49:55;74.53970000000001;76.102585;72.976815;18.2690375;18.304125;18.23395
74.1;18.22;2023-11-10;07:49:56;74.5386325;76.10133499999999;72.97593;18.269019999999998;18.304035;18.234005
74.11;18.21;2023-11-10;07:49:57;74.53759;76.10014;72.97503999999999;18.268997500000005;18.303935000000003;18.234060000000003
74.8;18.22;2023-11-10;07:49:58;74.536665;76.09919;72.97414000000002;18.268980000000003;18.303845000000003;18.234115000000003
74.1;18.22;2023-11-10;07:49:59;74.53542;76.09794000000001;72.9729;18.2689625;18.303755;18.234170000000002
